id,campusName,academicFieldName,season,subjectName,dayOfWeekPeriod,locationName,lessonModeName,timetableYear,faculties,entryNumber,syllabusDetailUrl
3283,日吉,外国語科目選択インテンシブスペイン語インテンシブ,春,スペイン語インテンシブ(1年)（政治選択）,木4,ヤマシロ， リタ Ｂ．,対面授業（主として対面授業）,2023,['法/政治'],11656,detail?ttblyr=2023&entno=11656&lang=jp
3284,日吉,外国語科目必修ドイツ語（初級）,秋,ドイツ語第Ⅱ,木4/火3,三瓶 愼一,対面授業（主として対面授業）,2023,['法/政治'],10023,detail?ttblyr=2023&entno=10023&lang=jp
3285,日吉,外国語科目必修フランス語（初級）,秋,フランス語第Ⅱ,木4/火5,西部 由里子,対面授業（主として対面授業）,2023,['法/政治'],15188,detail?ttblyr=2023&entno=15188&lang=jp
3286,日吉,外国語科目必修中国語（初級）,秋,中国語第Ⅱ,木4/火4,磯部 靖,対面授業（主として対面授業）,2023,['法/政治'],26759,detail?ttblyr=2023&entno=26759&lang=jp
3287,日吉,外国語科目必修朝鮮語（初級）,秋,朝鮮語第Ⅱ,木4/水4,韓 晶恵,対面授業（主として対面授業）,2023,['法/政治'],12561,detail?ttblyr=2023&entno=12561&lang=jp
3288,日吉,外国語科目必修英語（初級）,春,英語第Ⅰ,木5,平沢 慎也,対面授業（主として対面授業）,2023,['法/法律'],3518,detail?ttblyr=2023&entno=03518&lang=jp
3289,日吉,外国語科目必修英語（初級）,春,英語第Ⅰ,木5/水5,熊代 敏行,対面授業（主として対面授業）,2023,['法/法律'],18832,detail?ttblyr=2023&entno=18832&lang=jp
3290,日吉,外国語科目必修中国語（初級）,春,中国語第Ⅰ,木5,劉 渇氷,対面授業（主として対面授業）,2023,['法/法律'],6775,detail?ttblyr=2023&entno=06775&lang=jp
3291,日吉,外国語科目選択インテンシブスペイン語インテンシブ,春,スペイン語インテンシブ(1年)（法律選択）,木5,ヤマシロ， リタ Ｂ．,対面授業（主として対面授業）,2023,['法/法律'],32786,detail?ttblyr=2023&entno=32786&lang=jp
3292,日吉,外国語科目必修中国語（初級）,秋,中国語第Ⅱ,木5,劉 渇氷,対面授業（主として対面授業）,2023,['法/法律'],34941,detail?ttblyr=2023&entno=34941&lang=jp
3293,日吉,外国語科目選択ラテン語,春,ラテン語（初級）,火1,藤谷 道夫,対面授業（主として対面授業）,2023,['法/法律'],15321,detail?ttblyr=2023&entno=15321&lang=jp
3294,日吉,外国語科目選択ギリシャ語,春,ギリシャ語（初級）,火2,大塚 英樹,オンライン授業（主としてリアルタイム形式）,2023,['法/法律'],32660,detail?ttblyr=2023&entno=32660&lang=jp
3295,日吉,外国語科目必修英語（初級）,春,英語第Ⅱ−レベル２,火3/火4,熊代 文子,対面授業（主として対面授業）,2023,['法/法律'],4309,detail?ttblyr=2023&entno=04309&lang=jp
3296,日吉,外国語科目必修英語（初級）,春,英語第Ⅱ−レベル２,火3,中川 千帆,対面授業（主として対面授業）,2023,['法/法律'],12270,detail?ttblyr=2023&entno=12270&lang=jp
3297,日吉,外国語科目必修英語（中級）,春,英語第Ⅳ−レベル１,火3,マクドナルド， ピーター,対面授業（主として対面授業）,2023,['法/法律'],3690,detail?ttblyr=2023&entno=03690&lang=jp
3298,日吉,外国語科目必修英語（中級）,春,英語第Ⅳ−レベル１,火3/火4,古賀 裕章,対面授業（主として対面授業）,2023,['法/法律'],31735,detail?ttblyr=2023&entno=31735&lang=jp
3299,日吉,外国語科目必修英語（中級）,春,英語第Ⅳ−レベル２,火3,太田 昭子,対面授業（主として対面授業）,2023,['法/法律'],27685,detail?ttblyr=2023&entno=27685&lang=jp
3300,日吉,外国語科目必修ロシア語（中級）,春,ロシア語インテンシブ(1年)（法律必修）,火3,山田 徹也,対面授業（主として対面授業）,2023,['法/法律'],12155,detail?ttblyr=2023&entno=12155&lang=jp
3301,日吉,外国語科目選択ポルトガル語,春,ポルトガル語第Ⅰ,火3,牧野 真也,対面授業（主として対面授業）,2023,['法/法律'],4108,detail?ttblyr=2023&entno=04108&lang=jp
