LVL,FLDNM,KNLESSONLANGNM,ESTB,SYLLABUS_DETAIL_URL,SBJTNM,DOWPD,LCTNM,ID
1,必修語学科目英語,日本語,文/人文,detail?ttblyr=2023&entno=65495&lang=jp,英語Ⅰ中級,火1,田辺 寛,65495
1,必修語学科目英語,日本語,文/人文,detail?ttblyr=2023&entno=65825&lang=jp,英語Ⅰ中級,火1,江崎 麻里,65825
1,必修語学科目英語,日本語,文/人文,detail?ttblyr=2023&entno=66104&lang=jp,英語Ⅰ中級,火1,新名 ますみ,66104
1,必修語学科目英語,英語,文/人文,detail?ttblyr=2023&entno=66420&lang=jp,英語Ⅰ中級発展,火1,ピアソン・ウメヅ， ナンシー Ｅ．,66420
1,必修語学科目英語,英語,文/人文,detail?ttblyr=2023&entno=60656&lang=jp,英語Ⅰ最上級,火1,バティー， ロジャー Ｍ．,60656
"2, 3, 4",必修語学科目英語,日本語,文/人文,detail?ttblyr=2023&entno=90497&lang=jp,英語Ⅲ基礎発展（セ）,火1,坂本 光,90497
"2, 3, 4",必修語学科目英語,日本語,文/人文,detail?ttblyr=2023&entno=04425&lang=jp,英語Ⅲ中級発展（セ）,火1,辺見 葉子,04425
"2, 3, 4",必修語学科目英語,英語,文/人文,detail?ttblyr=2023&entno=98847&lang=jp,英語Ⅲ中級発展（セ）,火1,井口 篤,98847
"2, 3, 4",必修語学科目英語,英語,文/人文,detail?ttblyr=2023&entno=05068&lang=jp,英語Ⅲ上級（セ）,火1,ハウザー， ラスカイル Ｌ．,05068
1,必修語学科目フランス語,日本語,文/人文,detail?ttblyr=2023&entno=69141&lang=jp,フランス語Ⅰ上級（Ａ）,火1,芦野 文武,69141
"2, 3, 4",必修語学科目中国語,その他,文/人文,detail?ttblyr=2023&entno=00635&lang=jp,中国語ⅢＢ（セ）,火1,劉 渇氷,00635
1,必修語学科目スペイン語,日本語,文/人文,detail?ttblyr=2023&entno=08116&lang=jp,スペイン語Ⅰ（Ａ）,火1,諸星 妙,08116
1,必修語学科目スペイン語,日本語,文/人文,detail?ttblyr=2023&entno=65878&lang=jp,スペイン語Ⅰ（Ａ）,火1,金子 奈美,65878
"2, 3, 4",必修語学科目スペイン語,その他,文/人文,detail?ttblyr=2023&entno=03099&lang=jp,スペイン語Ⅲ（Ｂ）（セ）,火1,フィシェレフ， ヴァレリア,03099
1,総合教育科目社会科学系列,日本語,文/人文,detail?ttblyr=2023&entno=18109&lang=jp,社会学Ⅰ,火1,土居 洋平,18109
1,総合教育科目社会科学系列,日本語,文/人文,detail?ttblyr=2023&entno=84364&lang=jp,政治学Ⅰ,火1,小田 勇樹,84364
1,総合教育科目社会科学系列特論,日本語,文/人文,detail?ttblyr=2023&entno=17834&lang=jp,社会科学特論Ⅰ（社会学）,火1,杉浦 淳吉,17834
1,総合教育科目自然科学系列,日本語,文/人文,detail?ttblyr=2023&entno=22423&lang=jp,化学Ⅰ（実験を含む）,"火1,2",井奥 洪二,22423
1,総合教育科目自然科学系列,日本語,文/人文,detail?ttblyr=2023&entno=25968&lang=jp,心理学Ⅰ,火1,皆川 泰代,25968
1,総合教育科目自然科学系列,日本語,文/人文,detail?ttblyr=2023&entno=00555&lang=jp,生物学Ⅰ（実験を含む）,"火1,2",古川 亮平,00555
1,総合教育科目自然科学系列,日本語,文/人文,detail?ttblyr=2023&entno=02071&lang=jp,生物学Ⅰ（実験を含む）,"火1,2",糟谷 大河,02071
1,総合教育科目自然科学系列,日本語,文/人文,detail?ttblyr=2023&entno=63621&lang=jp,生物学Ⅰ（実験を含む）,"火1,2",坪川 達也,63621
1,総合教育科目自然科学系列,日本語,文/人文,detail?ttblyr=2023&entno=72952&lang=jp,物理学Ⅰ（実験を含む）,"火1,2",杉本 憲彦,72952
"2, 3, 4",総合教育科目系列外語学以外,日本語,文/人文,detail?ttblyr=2023&entno=05215&lang=jp,基礎情報処理（Ｍ）,火1,宮田 洋輔,05215
"2, 3, 4",総合教育科目系列外語学,日本語,文/人文,detail?ttblyr=2023&entno=05512&lang=jp,英語インテンシブⅢＢ（セ）,火1,ミィニョォン， テーラー Ｅ．,05512
1,総合教育科目系列外語学,日本語,文/人文,detail?ttblyr=2023&entno=25255&lang=jp,ラテン語初級Ⅰ,火1,藤谷 道夫,25255
"2, 3, 4",専門教育科目,日本語,文/人文,detail?ttblyr=2023&entno=03634&lang=jp,カウンセリングワークショップⅠ,火1,萩原 豪人,03634
"2, 3, 4",専門教育科目,日本語,文/人文,detail?ttblyr=2023&entno=97085&lang=jp,西洋古典学Ⅰ,火1,小池 和子,97085
"2, 3, 4",専門教育科目,日本語,文/人文,detail?ttblyr=2023&entno=64156&lang=jp,博物館と教育（Ａ）,火1,真壁 宏幹,64156
1,必修語学科目英語,日本語,文/人文,detail?ttblyr=2023&entno=64628&lang=jp,英語Ⅱ中級,火1,新名 ますみ,64628
1,必修語学科目英語,日本語,文/人文,detail?ttblyr=2023&entno=65170&lang=jp,英語Ⅱ中級,火1,田辺 寛,65170
1,必修語学科目英語,日本語,文/人文,detail?ttblyr=2023&entno=65500&lang=jp,英語Ⅱ中級,火1,江崎 麻里,65500
1,必修語学科目英語,英語,文/人文,detail?ttblyr=2023&entno=63837&lang=jp,英語Ⅱ中級発展,火1,ピアソン・ウメヅ， ナンシー Ｅ．,63837
1,必修語学科目英語,英語,文/人文,detail?ttblyr=2023&entno=41857&lang=jp,英語Ⅱ最上級,火1,バティー， ロジャー Ｍ．,41857
"2, 3, 4",必修語学科目英語,日本語,文/人文,detail?ttblyr=2023&entno=90482&lang=jp,英語Ⅳ基礎発展（セ）,火1,坂本 光,90482
"2, 3, 4",必修語学科目英語,日本語,文/人文,detail?ttblyr=2023&entno=04430&lang=jp,英語Ⅳ中級発展（セ）,火1,辺見 葉子,04430
"2, 3, 4",必修語学科目英語,英語,文/人文,detail?ttblyr=2023&entno=98851&lang=jp,英語Ⅳ中級発展（セ）,火1,井口 篤,98851
"2, 3, 4",必修語学科目英語,英語,文/人文,detail?ttblyr=2023&entno=05072&lang=jp,英語Ⅳ上級（セ）,火1,ハウザー， ラスカイル Ｌ．,05072
1,必修語学科目フランス語,日本語,文/人文,detail?ttblyr=2023&entno=69156&lang=jp,フランス語Ⅱ上級（Ａ）,火1,芦野 文武,69156
"2, 3, 4",必修語学科目中国語,その他,文/人文,detail?ttblyr=2023&entno=00640&lang=jp,中国語ⅣＢ（セ）,火1,劉 渇氷,00640
1,必修語学科目スペイン語,日本語,文/人文,detail?ttblyr=2023&entno=08154&lang=jp,スペイン語Ⅱ（Ａ）,火1,諸星 妙,08154
1,必修語学科目スペイン語,日本語,文/人文,detail?ttblyr=2023&entno=66654&lang=jp,スペイン語Ⅱ（Ａ）,火1,金子 奈美,66654
"2, 3, 4",必修語学科目スペイン語,その他,文/人文,detail?ttblyr=2023&entno=03103&lang=jp,スペイン語Ⅳ（Ｂ）（セ）,火1,フィシェレフ， ヴァレリア,03103
1,総合教育科目人文科学系列,日本語,文/人文,detail?ttblyr=2023&entno=82854&lang=jp,文学Ⅱ,火1,櫻庭 ゆみ子,82854
1,総合教育科目社会科学系列,日本語,文/人文,detail?ttblyr=2023&entno=18075&lang=jp,社会学Ⅱ,火1,土居 洋平,18075
1,総合教育科目社会科学系列,日本語,文/人文,detail?ttblyr=2023&entno=84049&lang=jp,政治学Ⅱ,火1,小田 勇樹,84049
1,総合教育科目自然科学系列,日本語,文/人文,detail?ttblyr=2023&entno=22476&lang=jp,化学Ⅱ（実験を含む）,"火1,2",井奥 洪二,22476
1,総合教育科目自然科学系列,日本語,文/人文,detail?ttblyr=2023&entno=27004&lang=jp,心理学Ⅱ,火1,皆川 泰代,27004
1,総合教育科目自然科学系列,日本語,文/人文,detail?ttblyr=2023&entno=00608&lang=jp,生物学Ⅱ（実験を含む）,"火1,2",古川 亮平,00608
1,総合教育科目自然科学系列,日本語,文/人文,detail?ttblyr=2023&entno=15651&lang=jp,生物学Ⅱ（実験を含む）,"火1,2",糟谷 大河,15651
1,総合教育科目自然科学系列,日本語,文/人文,detail?ttblyr=2023&entno=41074&lang=jp,生物学Ⅱ（実験を含む）,"火1,2",坪川 達也,41074
1,総合教育科目自然科学系列,日本語,文/人文,detail?ttblyr=2023&entno=75272&lang=jp,物理学Ⅱ（実験を含む）,"火1,2",杉本 憲彦,75272
"2, 3, 4",総合教育科目系列外語学,日本語,文/人文,detail?ttblyr=2023&entno=05527&lang=jp,英語インテンシブⅣＢ（セ）,火1,ミィニョォン， テーラー Ｅ．,05527
1,総合教育科目系列外語学,日本語,文/人文,detail?ttblyr=2023&entno=34901&lang=jp,ラテン語初級Ⅱ,火1,藤谷 道夫,34901
"2, 3, 4",専門教育科目,日本語,文/人文,detail?ttblyr=2023&entno=08712&lang=jp,西洋古典学Ⅱ,火1,小池 和子,08712
"2, 3, 4",専門教育科目日本史学専攻必修Ｃ,日本語,文/人日,detail?ttblyr=2023&entno=94660&lang=jp,日本史概説Ⅲ,火1,上野 大輔,94660
"2, 3, 4",専門教育科目日本史学専攻必修Ｃ,日本語,文/人日,detail?ttblyr=2023&entno=09211&lang=jp,日本史概説Ⅳ,火1,前田 廉孝,09211
"2, 3, 4",専門教育科目西洋史学専攻必修Ｄ,日本語,文/人西,detail?ttblyr=2023&entno=02810&lang=jp,西洋史概説Ⅲ,火1,野々瀬 浩司,02810
"2, 3, 4",専門教育科目西洋史学専攻必修Ｄ,日本語,文/人西,detail?ttblyr=2023&entno=10298&lang=jp,西洋史概説Ⅳ,火1,野々瀬 浩司,10298
"2, 3, 4",専門教育科目民族学考古学専攻選択必修Ａ,日本語,文/人民,detail?ttblyr=2023&entno=09905&lang=jp,民族学考古学特殊ⅩⅧ,火1,朽木 量,09905
"2, 3, 4",専門教育科目国文学専攻選択科目,日本語,文/人国,detail?ttblyr=2023&entno=96203&lang=jp,日本語教育学Ⅰ,火1,木村 義之,96203
"2, 3, 4",専門教育科目国文学専攻選択科目,日本語,文/人国,detail?ttblyr=2023&entno=95082&lang=jp,日本語教育学Ⅱ,火1,木村 義之,95082
"2, 3, 4",専門教育科目中国文学専攻研究会（３年）,日本語,文/人中,detail?ttblyr=2023&entno=05785&lang=jp,中国語学・中国文学研究会Ⅰ,火1,杉野 元子,05785
"2, 3, 4",専門教育科目中国文学専攻研究会（４年）,日本語,文/人中,detail?ttblyr=2023&entno=05364&lang=jp,中国語学・中国文学研究会Ⅲ,火1,杉野 元子,05364
"2, 3, 4",専門教育科目中国文学専攻研究会（３年）,日本語,文/人中,detail?ttblyr=2023&entno=05091&lang=jp,中国語学・中国文学研究会Ⅱ,火1,杉野 元子,05091
"2, 3, 4",専門教育科目中国文学専攻研究会（４年）,日本語,文/人中,detail?ttblyr=2023&entno=05106&lang=jp,中国語学・中国文学研究会Ⅳ,火1,杉野 元子,05106
"2, 3, 4",専門教育科目英米文学専攻必修Ｂ,日本語,文/人英,detail?ttblyr=2023&entno=65994&lang=jp,古代中世英語学Ⅰ,火1,堀田 隆一,65994
"2, 3, 4",専門教育科目英米文学専攻指定選択科目,日本語,文/人英,detail?ttblyr=2023&entno=95355&lang=jp,英語学Ⅰ,火1,奥 聡一郎,95355
"2, 3, 4",専門教育科目英米文学専攻必修Ｂ,日本語,文/人英,detail?ttblyr=2023&entno=08014&lang=jp,古代中世英語学Ⅱ,火1,徳永 聡子,08014
"2, 3, 4",専門教育科目英米文学専攻指定選択科目,日本語,文/人英,detail?ttblyr=2023&entno=08268&lang=jp,英語学Ⅱ,火1,奥 聡一郎,08268
"2, 3, 4",専門教育科目仏文学専攻基礎コース（必修Ａ）,その他,文/人仏,detail?ttblyr=2023&entno=00559&lang=jp,フランス語表現演習Ⅲ（Ｘ）,火1,ベルナール・ミルティル， ロランス,00559
"2, 3, 4",専門教育科目仏文学専攻基礎コース（必修Ａ）,その他,文/人仏,detail?ttblyr=2023&entno=06318&lang=jp,フランス語表現演習Ⅳ（Ｘ）,火1,ベルナール・ミルティル， ロランス,06318
"2, 3, 4",専門教育科目図書館・情報学専攻必修（２年生）,日本語,文/人図,detail?ttblyr=2023&entno=84863&lang=jp,情報管理基礎Ⅱ（Ｃ）,火1,岩瀬 梓,84863
"2, 3, 4",専門教育科目図書館・情報学専攻必修（２年生）,日本語,文/人図,detail?ttblyr=2023&entno=97420&lang=jp,情報メディア基礎Ⅱ（Ａ）,火1,國本 千裕,97420
"2, 3, 4",専門教育科目図書館・情報学専攻情報メディアコース（選択）(11学則) / 専門教育科目図書館・情報学専攻情報管理コース（選択）(11学則) / 専門教育科目図書館・情報学専攻図書館コース（必修）(11学則),日本語,文/人図,detail?ttblyr=2023&entno=89650&lang=jp,情報サービス概説,火1,小林 昌樹 他,89650
"2, 3, 4",専門教育科目図書館・情報学専攻情報メディアコース（選択）(11学則) / 専門教育科目図書館・情報学専攻情報管理コース（選択）(11学則) / 専門教育科目図書館・情報学専攻図書館コース（必修）(11学則),日本語,文/人図,detail?ttblyr=2023&entno=89664&lang=jp,公共図書館論,火1,松本 直樹,89664
"2, 3, 4",専門教育科目社会学専攻必修Ａ,日本語,文/人社,detail?ttblyr=2023&entno=96935&lang=jp,社会学概論Ⅰ,火1,岡田 あおい 他,96935
"2, 3, 4",専門教育科目社会学専攻必修Ａ,日本語,文/人社,detail?ttblyr=2023&entno=99972&lang=jp,社会学概論Ⅱ,火1,木下 衆 他,99972
"2, 3, 4",専門教育科目社会学専攻選択必修,日本語,文/人社,detail?ttblyr=2023&entno=11791&lang=jp,社会心理学特殊Ⅵ,火1,大坪 庸介,11791
"2, 3, 4",専門教育科目心理学専攻必修Ａ,日本語,文/人心,detail?ttblyr=2023&entno=05818&lang=jp,生理・神経心理学,火1,伊澤 栄一 他,05818
"2, 3, 4",専門教育科目心理学専攻選択必修,日本語,文/人心,detail?ttblyr=2023&entno=12286&lang=jp,知覚・認知心理学特殊Ⅰ,火1,田谷 修一郎,12286
"2, 3, 4",専門教育科目心理学専攻選択必修,日本語,文/人心,detail?ttblyr=2023&entno=05880&lang=jp,動物心理学,火1,伊澤 栄一,05880
"2, 3, 4",専門教育科目教育学専攻必修Ａ,日本語,文/人教,detail?ttblyr=2023&entno=65899&lang=jp,教育学概論Ⅰ,火1,渡邊 福太郎,65899
"2, 3, 4",専門教育科目教育学専攻必修Ａ,日本語,文/人教,detail?ttblyr=2023&entno=06925&lang=jp,教育学概論Ⅱ,火1,真壁 宏幹,06925
"2, 3, 4",専門教育科目人間科学専攻選択必修（Ⅲ類）,日本語,文/人人,detail?ttblyr=2023&entno=63810&lang=jp,人間科学特殊ⅩⅩⅥＡ（メタ心理学）,火1,平石 界,63810
1,必修語学科目英語,日本語,文/人文,detail?ttblyr=2023&entno=35087&lang=jp,英語Ⅰ中級,火2,沼田 香穂里,35087
1,必修語学科目英語,日本語,文/人文,detail?ttblyr=2023&entno=64470&lang=jp,英語Ⅰ中級,火2,近藤 真彫,64470
1,必修語学科目英語,日本語,文/人文,detail?ttblyr=2023&entno=68547&lang=jp,英語Ⅰ中級,火2,田辺 寛,68547
1,必修語学科目英語,日本語,文/人文,detail?ttblyr=2023&entno=65280&lang=jp,英語Ⅰ中級発展,火2,江崎 麻里,65280
1,必修語学科目英語,日本語,文/人文,detail?ttblyr=2023&entno=66616&lang=jp,英語Ⅰ中級発展,火2,新名 ますみ,66616
1,必修語学科目英語,英語,文/人文,detail?ttblyr=2023&entno=69486&lang=jp,英語Ⅰ上級,火2,バナード， ピーター,69486
1,必修語学科目英語,英語,文/人文,detail?ttblyr=2023&entno=69854&lang=jp,英語Ⅰ上級,火2,ピアソン・ウメヅ， ナンシー Ｅ．,69854
"2, 3, 4",必修語学科目英語,英語,文/人文,detail?ttblyr=2023&entno=05857&lang=jp,英語Ⅲ基礎発展（セ）,火2,井口 篤,05857
"2, 3, 4",必修語学科目英語,日本語,文/人文,detail?ttblyr=2023&entno=38403&lang=jp,英語Ⅲ中級（セ）,火2,辺見 葉子,38403
"2, 3, 4",必修語学科目英語,日本語,文/人文,detail?ttblyr=2023&entno=95761&lang=jp,英語Ⅲ中級（セ）,火2,白鳥 義博,95761
"2, 3, 4",必修語学科目英語,英語,文/人文,detail?ttblyr=2023&entno=96218&lang=jp,英語Ⅲ中級（セ）,火2,佐藤 理佳,96218
"2, 3, 4",必修語学科目英語,英語,文/人文,detail?ttblyr=2023&entno=00339&lang=jp,英語Ⅲ中級発展（セ）,火2,須田 紀子,00339
"2, 3, 4",必修語学科目英語,英語,文/人文,detail?ttblyr=2023&entno=65846&lang=jp,英語Ⅲ中級発展（セ）,火2,ハウザー， ラスカイル Ｌ．,65846
"2, 3, 4",必修語学科目ドイツ語,日本語,文/人文,detail?ttblyr=2023&entno=12487&lang=jp,ドイツ語Ⅰ（Ｄ）（セ）,火2,會田 素子,12487
"2, 3, 4",必修語学科目ドイツ語,日本語,文/人文,detail?ttblyr=2023&entno=01560&lang=jp,ドイツ語Ⅲ（Ｌ）（セ）,火2,宮下 みなみ,01560
1,必修語学科目フランス語,日本語,文/人文,detail?ttblyr=2023&entno=67976&lang=jp,フランス語Ⅰ（Ｂ）,火2,大嶌 健太郎,67976
1,必修語学科目フランス語,日本語,文/人文,detail?ttblyr=2023&entno=68202&lang=jp,フランス語Ⅰ（Ｂ）,火2,竹中 公二,68202
1,必修語学科目フランス語,日本語,文/人文,detail?ttblyr=2023&entno=68661&lang=jp,フランス語Ⅰ（Ｂ）,火2,芦野 文武,68661
1,必修語学科目フランス語,日本語,文/人文,detail?ttblyr=2023&entno=69031&lang=jp,フランス語Ⅰ（Ｂ）,火2,西脇 沙織,69031
1,必修語学科目中国語,日本語,文/人文,detail?ttblyr=2023&entno=67608&lang=jp,中国語Ⅰ（Ａ）,火2,須山 哲治,67608
1,必修語学科目中国語,その他,文/人文,detail?ttblyr=2023&entno=93949&lang=jp,中国語Ⅰ上級（C）,火2,丁 雷,93949
"2, 3, 4",必修語学科目中国語,日本語,文/人文,detail?ttblyr=2023&entno=98813&lang=jp,中国語Ⅲ上級Ｂ（セ）,火2,劉 渇氷,98813
1,必修語学科目スペイン語,日本語,文/人文,detail?ttblyr=2023&entno=08169&lang=jp,スペイン語Ⅰ（Ａ）,火2,諸星 妙,08169
1,必修語学科目スペイン語,日本語,文/人文,detail?ttblyr=2023&entno=67718&lang=jp,スペイン語Ⅰ（Ａ）,火2,安藤 万奈,67718
1,必修語学科目スペイン語,日本語,文/人文,detail?ttblyr=2023&entno=67809&lang=jp,スペイン語Ⅰ（Ａ）,火2,金子 奈美,67809
"2, 3, 4",必修語学科目スペイン語,その他,文/人文,detail?ttblyr=2023&entno=98684&lang=jp,スペイン語Ⅲ（Ｂ）（セ）,火2,フィシェレフ， ヴァレリア,98684
1,総合教育科目人文科学系列,日本語,文/人文,detail?ttblyr=2023&entno=26524&lang=jp,美術Ⅰ,火2,塩澤 寛樹,26524
1,総合教育科目人文科学系列,日本語,文/人文,detail?ttblyr=2023&entno=26543&lang=jp,美術Ⅰ,火2,國本 学史,26543
1,総合教育科目人文科学系列特論,日本語,文/人文,detail?ttblyr=2023&entno=16586&lang=jp,人文科学特論Ⅰ（東洋史）,火2,五味 知子,16586
1,総合教育科目人文科学系列特論,日本語,文/人文,detail?ttblyr=2023&entno=32837&lang=jp,人文科学特論Ⅰ（民族学考古学）,火2,安藤 広道 他,32837
1,総合教育科目人文科学系列特論,日本語,文/人文,detail?ttblyr=2023&entno=33505&lang=jp,人文科学特論Ⅰ（哲学）,火2,荒畑 靖宏,33505
1,総合教育科目社会科学系列,日本語,文/人文,detail?ttblyr=2023&entno=60201&lang=jp,近代思想史Ⅰ,火2,中野 安章,60201
1,総合教育科目社会科学系列,日本語,文/人文,detail?ttblyr=2023&entno=18553&lang=jp,社会学Ⅰ,火2,山本 直子,18553
1,総合教育科目社会科学系列,日本語,文/人文,detail?ttblyr=2023&entno=27569&lang=jp,社会学Ⅰ,火2,土居 洋平,27569
1,総合教育科目社会科学系列,日本語,文/人文,detail?ttblyr=2023&entno=31515&lang=jp,社会学Ⅰ,火2,阪井 裕一郎,31515
1,総合教育科目社会科学系列,日本語,文/人文,detail?ttblyr=2023&entno=91104&lang=jp,社会学Ⅰ,火2,宮本 万里,91104
1,総合教育科目社会科学系列,日本語,文/人文,detail?ttblyr=2023&entno=14979&lang=jp,法学Ⅰ（憲法を含む）,火2,金尾 悠香,14979
1,総合教育科目自然科学系列,日本語,文/人文,detail?ttblyr=2023&entno=22423&lang=jp,化学Ⅰ（実験を含む）,"火1,2",井奥 洪二,22423
1,総合教育科目自然科学系列,日本語,文/人文,detail?ttblyr=2023&entno=59130&lang=jp,心理学Ⅰ,火2,皆川 泰代,59130
1,総合教育科目自然科学系列,日本語,文/人文,detail?ttblyr=2023&entno=00555&lang=jp,生物学Ⅰ（実験を含む）,"火1,2",古川 亮平,00555
1,総合教育科目自然科学系列,日本語,文/人文,detail?ttblyr=2023&entno=02071&lang=jp,生物学Ⅰ（実験を含む）,"火1,2",糟谷 大河,02071
1,総合教育科目自然科学系列,日本語,文/人文,detail?ttblyr=2023&entno=63621&lang=jp,生物学Ⅰ（実験を含む）,"火1,2",坪川 達也,63621
1,総合教育科目自然科学系列,日本語,文/人文,detail?ttblyr=2023&entno=72952&lang=jp,物理学Ⅰ（実験を含む）,"火1,2",杉本 憲彦,72952
"2, 3, 4",総合教育科目系列外語学以外,日本語,文/人文,detail?ttblyr=2023&entno=02604&lang=jp,現代芸術Ⅰ,火2,小菅 隼人 他,02604
"2, 3, 4",総合教育科目系列外語学,日本語,文/人文,detail?ttblyr=2023&entno=05493&lang=jp,英語インテンシブⅢＤ（セ）,火2,ミィニョォン， テーラー Ｅ．,05493
"2, 3, 4",総合教育科目系列外語学,英語,文/人文,detail?ttblyr=2023&entno=01243&lang=jp,現代ギリシア語初級Ⅰ,火2,ダチカ， エレニ,01243
1,総合教育科目系列外語学,日本語,文/人文,detail?ttblyr=2023&entno=24699&lang=jp,古典ギリシア語初級Ⅰ,火2,大塚 英樹,24699
"2, 3, 4",総合教育科目系列外語学,日本語,文/人文,detail?ttblyr=2023&entno=65573&lang=jp,ドイツ語初級Ⅰ（セ）,火2,會田 素子,65573
"2, 3, 4",総合教育科目系列外教授会の認める,日本語,文/人文,detail?ttblyr=2023&entno=80739&lang=jp,孤独と共生Ⅰ,火2,佐川 徹 他,80739
"2, 3, 4",専門教育科目,日本語,文/人文,detail?ttblyr=2023&entno=66087&lang=jp,英書講読Ⅰ,火2,辻 秀雄,66087
1,必修語学科目英語,日本語,文/人文,detail?ttblyr=2023&entno=41571&lang=jp,英語Ⅱ中級,火2,沼田 香穂里,41571
1,必修語学科目英語,日本語,文/人文,detail?ttblyr=2023&entno=64207&lang=jp,英語Ⅱ中級,火2,近藤 真彫,64207
1,必修語学科目英語,日本語,文/人文,detail?ttblyr=2023&entno=68877&lang=jp,英語Ⅱ中級,火2,田辺 寛,68877
1,必修語学科目英語,日本語,文/人文,detail?ttblyr=2023&entno=65294&lang=jp,英語Ⅱ中級発展,火2,江崎 麻里,65294
1,必修語学科目英語,日本語,文/人文,detail?ttblyr=2023&entno=66305&lang=jp,英語Ⅱ中級発展,火2,新名 ますみ,66305
1,必修語学科目英語,英語,文/人文,detail?ttblyr=2023&entno=69505&lang=jp,英語Ⅱ上級,火2,バナード， ピーター,69505
1,必修語学科目英語,英語,文/人文,detail?ttblyr=2023&entno=69869&lang=jp,英語Ⅱ上級,火2,ピアソン・ウメヅ， ナンシー Ｅ．,69869
"2, 3, 4",必修語学科目英語,英語,文/人文,detail?ttblyr=2023&entno=05455&lang=jp,英語Ⅳ基礎発展（セ）,火2,井口 篤,05455
"2, 3, 4",必修語学科目英語,日本語,文/人文,detail?ttblyr=2023&entno=38733&lang=jp,英語Ⅳ中級（セ）,火2,辺見 葉子,38733
"2, 3, 4",必修語学科目英語,日本語,文/人文,detail?ttblyr=2023&entno=95776&lang=jp,英語Ⅳ中級（セ）,火2,白鳥 義博,95776
"2, 3, 4",必修語学科目英語,英語,文/人文,detail?ttblyr=2023&entno=97358&lang=jp,英語Ⅳ中級（セ）,火2,佐藤 理佳,97358
"2, 3, 4",必修語学科目英語,英語,文/人文,detail?ttblyr=2023&entno=00343&lang=jp,英語Ⅳ中級発展（セ）,火2,須田 紀子,00343
"2, 3, 4",必修語学科目英語,英語,文/人文,detail?ttblyr=2023&entno=64175&lang=jp,英語Ⅳ中級発展（セ）,火2,ハウザー， ラスカイル Ｌ．,64175
"2, 3, 4",必修語学科目ドイツ語,日本語,文/人文,detail?ttblyr=2023&entno=12491&lang=jp,ドイツ語Ⅱ（Ｄ）（セ）,火2,會田 素子,12491
"2, 3, 4",必修語学科目ドイツ語,日本語,文/人文,detail?ttblyr=2023&entno=01574&lang=jp,ドイツ語Ⅳ（Ｌ）（セ）,火2,宮下 みなみ,01574
1,必修語学科目フランス語,日本語,文/人文,detail?ttblyr=2023&entno=66946&lang=jp,フランス語Ⅱ（Ｂ）,火2,竹中 公二,66946
1,必修語学科目フランス語,日本語,文/人文,detail?ttblyr=2023&entno=67995&lang=jp,フランス語Ⅱ（Ｂ）,火2,大嶌 健太郎,67995
1,必修語学科目フランス語,日本語,文/人文,detail?ttblyr=2023&entno=68346&lang=jp,フランス語Ⅱ（Ｂ）,火2,芦野 文武,68346
1,必修語学科目フランス語,日本語,文/人文,detail?ttblyr=2023&entno=69046&lang=jp,フランス語Ⅱ（Ｂ）,火2,西脇 沙織,69046
1,必修語学科目中国語,日本語,文/人文,detail?ttblyr=2023&entno=66491&lang=jp,中国語Ⅱ（Ａ）,火2,須山 哲治,66491
1,必修語学科目中国語,その他,文/人文,detail?ttblyr=2023&entno=93987&lang=jp,中国語Ⅱ上級（C）,火2,丁 雷,93987
"2, 3, 4",必修語学科目中国語,日本語,文/人文,detail?ttblyr=2023&entno=99126&lang=jp,中国語Ⅳ上級Ｂ（セ）,火2,劉 渇氷,99126
1,必修語学科目スペイン語,日本語,文/人文,detail?ttblyr=2023&entno=08192&lang=jp,スペイン語Ⅱ（Ａ）,火2,諸星 妙,08192
1,必修語学科目スペイン語,日本語,文/人文,detail?ttblyr=2023&entno=67722&lang=jp,スペイン語Ⅱ（Ａ）,火2,安藤 万奈,67722
1,必修語学科目スペイン語,日本語,文/人文,detail?ttblyr=2023&entno=67813&lang=jp,スペイン語Ⅱ（Ａ）,火2,金子 奈美,67813
"2, 3, 4",必修語学科目スペイン語,その他,文/人文,detail?ttblyr=2023&entno=98699&lang=jp,スペイン語Ⅳ（Ｂ）（セ）,火2,フィシェレフ， ヴァレリア,98699
1,総合教育科目人文科学系列特論,日本語,文/人文,detail?ttblyr=2023&entno=13217&lang=jp,人文科学特論Ⅱ（民族学考古学）,火2,杉本 智俊 他,13217
1,総合教育科目人文科学系列特論,日本語,文/人文,detail?ttblyr=2023&entno=49515&lang=jp,人文科学特論Ⅱ（哲学）,火2,荒畑 靖宏,49515
1,総合教育科目社会科学系列,日本語,文/人文,detail?ttblyr=2023&entno=10021&lang=jp,近代思想史Ⅱ,火2,中野 安章,10021
1,総合教育科目社会科学系列,日本語,文/人文,detail?ttblyr=2023&entno=18333&lang=jp,社会学Ⅱ,火2,山本 直子,18333
1,総合教育科目社会科学系列,日本語,文/人文,detail?ttblyr=2023&entno=30629&lang=jp,社会学Ⅱ,火2,土居 洋平,30629
1,総合教育科目社会科学系列,日本語,文/人文,detail?ttblyr=2023&entno=59106&lang=jp,社会学Ⅱ,火2,阪井 裕一郎,59106
1,総合教育科目社会科学系列,日本語,文/人文,detail?ttblyr=2023&entno=91984&lang=jp,社会学Ⅱ,火2,宮本 万里,91984
1,総合教育科目社会科学系列,日本語,文/人文,detail?ttblyr=2023&entno=14596&lang=jp,法学Ⅱ（憲法を含む）,火2,金尾 悠香,14596
